YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,CRS_ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED,SkyCondition,DryBulbCelsius,Visibility,WindSpeed,WindDirection,StationPressure
2016,3,23,3,NK,174,11697,12953,1609,18,1,1900,5,0,0,FEW047 BKN055,24.4,10,11,120,30.15
2016,3,24,4,NK,174,11697,12953,1609,7,0,1900,,,0,BKN014 BKN024CB OVC070,25.6,10,16,150,29.97
2016,3,25,5,NK,174,11697,12953,1609,181,1,1900,193,1,0,FEW038 BKN065 BKN110,23.9,10,9,250,29.97
2016,3,26,6,NK,174,11697,12953,1609,41,1,1900,44,1,0,SCT019,26.7,10,10,140,30.06
2016,3,27,7,NK,174,11697,12953,1609,20,1,1900,7,0,0,SCT019 BKN140 BKN200,27.2,10,13,160,30.03
2016,3,28,1,NK,174,11697,12953,1609,82,1,1900,97,1,0,FEW035 SCT150 BKN250,29.4,10,8,280,30.01
2016,3,29,2,NK,174,11697,12953,1609,44,1,1900,54,1,0,FEW015 FEW120 OVC250,21.7,10,6,360,30.02
2016,3,30,3,NK,174,11697,12953,1609,53,1,1900,59,1,0,SCT020 BKN026 OVC047,23.9,10,16,70,30
2016,3,31,4,NK,174,11697,12953,1609,42,1,1900,30,1,0,FEW033,27.2,10,16,150,29.94
2016,3,1,2,NK,180,11697,12953,1130,0,0,1422,-21,0,0,BKN035 BKN060 BKN250,25.6,10,13,110,30.13
2016,3,2,3,NK,180,11697,12953,1130,103,1,1422,98,1,0,FEW030 SCT250,26.1,10,7,250,30.1
2016,3,3,4,NK,180,11697,12953,1130,239,1,1422,222,1,0,FEW030 FEW180 OVC250,26.1,10,13,150,30.05
2016,3,4,5,NK,180,11697,12953,1130,28,1,1422,38,1,0,SCT037 SCT150 SCT250,27.2,10,11,310,29.98
2016,3,5,6,NK,180,11697,12953,1130,14,0,1422,-5,0,0,FEW030 BKN060 BKN250,24.4,10,13,70,30.07
2016,3,6,7,NK,180,11697,12953,1130,7,0,1422,24,1,0,CLR,25,10,10,10,30.11
2016,3,7,1,NK,180,11697,12953,1130,0,0,1422,-9,0,0,BKN048,23.3,10,20,80,30.24
2016,3,8,2,NK,180,11697,12953,1130,0,0,1422,-16,0,0,OVC050,25,10,21,110,30.23
2016,3,9,3,NK,180,11697,12953,1130,0,0,1422,-10,0,0,BKN047,26.1,10,23,120,30.23
2016,3,10,4,NK,180,11697,12953,1130,0,0,1422,-16,0,0,FEW030 BKN039,26.7,10,24,130,30.23
2016,3,11,5,NK,180,11697,12953,1130,20,1,1422,8,0,0,SCT027 BKN030 BKN040,26,10,22,140,30.18
2016,3,12,6,NK,180,11697,12953,1130,0,0,1422,-21,0,0,FEW030 BKN055 BKN250,26,10,20,150,30.16
2016,3,13,7,NK,180,11697,12953,1130,20,1,1422,9,0,0,SCT025 BKN036,27,10,  ,150,30.05
2016,3,14,1,NK,180,11697,12953,1130,6,0,1422,31,1,0,FEW030 BKN040 BKN075,27.8,10,11,170,30.04
2016,3,15,2,NK,180,11697,12953,1130,45,1,1422,39,1,0,FEW035 BKN041,27.8,10,8,280,30.04
2016,3,16,3,NK,180,11697,12953,1130,0,0,1422,-12,0,0,FEW025 BKN250,26.1,10,10,110,30.06
2016,3,17,4,NK,180,11697,12953,1130,0,0,1422,0,0,0,FEW027 FEW080 SCT250,26.1,10,9,120,30.02
2016,3,18,5,NK,180,11697,12953,1130,0,0,1422,2,0,0,BKN048 BKN250,26.7,10,3,VR ,29.99
2016,3,19,6,NK,180,11697,12953,1130,0,0,1422,-18,0,0,FEW027 SCT070 OVC140,28.9,10,16,180,29.89
2016,3,20,7,NK,180,11697,12953,1130,16,1,1422,23,1,0,FEW028 BKN035 BKN044,25.6,8,15,270,29.9
2016,3,21,1,NK,180,11697,12953,1130,0,0,1422,-26,0,0,FEW050 OVC200,17.8,10,15,310,30.13
2016,3,22,2,NK,180,11697,12953,1130,0,0,1422,0,0,0,FEW050 BKN250,22.8,10,17,60,30.29
2016,3,23,3,NK,180,11697,12953,1130,0,0,1422,-6,0,0,FEW043 FEW055,25.6,10,16,110,30.21
2016,3,24,4,NK,180,11697,12953,1130,7,0,1422,-11,0,0,SCT015 BKN042 OVC065,26.1,10,18,120,30.08
2016,3,25,5,NK,180,11697,12953,1130,0,0,1422,-1,0,0,FEW020 OVC250,28.3,10,13,130,30
2016,3,26,6,NK,180,11697,12953,1130,4,0,1422,-12,0,0,SCT023 BKN220,27.8,10,15,160,30.1
2016,3,27,7,NK,180,11697,12953,1130,1,0,1422,-10,0,0,FEW019 SCT026 BKN032,27.8,10,17,160,30.11
2016,3,28,1,NK,180,11697,12953,1130,64,1,1422,49,1,0,FEW025 SCT150 OVC250,29.4,10,3,250,30.05
2016,3,29,2,NK,180,11697,12953,1130,21,1,1422,14,0,0,FEW030 SCT180 OVC250,28.9,10,7,70,30.05
2016,3,30,3,NK,180,11697,12953,1130,7,0,1422,11,0,0,BKN018 BKN028 OVC065,23.9,10,16,60,30.06
2016,3,31,4,NK,180,11697,12953,1130,0,0,1422,-3,0,0,SCT023 SCT045 SCT250,27.8,10,16,140,29.99
2016,3,1,2,NK,188,11433,12953,1600,0,0,1746,16,1,0,OVC010,-1,1.5,13,350,28.86
2016,3,2,3,NK,188,11433,12953,1600,43,1,1746,45,1,0,FEW040 BKN100,-2.8,10,8,290,29.41
2016,3,3,4,NK,188,11433,12953,1600,12,0,1746,42,1,0,BKN011 BKN020 OVC045,-2,1.5,6,80,29.36
2016,3,4,5,NK,188,11433,12953,1600,115,1,1746,121,1,0,SCT040 SCT250,1.1,10,9,170,29.47
2016,3,5,6,NK,188,11433,12953,1600,27,1,1746,26,1,0,OVC011,0.6,3,8,20,29.4
2016,3,6,7,NK,188,11433,12953,1600,0,0,1746,-12,0,0,OVC019,2.2,8,15,180,29.44
2016,3,7,1,NK,188,11433,12953,1600,0,0,1746,-11,0,0,SCT070 BKN090 OVC250,13.9,10,14,200,29.26
2016,3,1,2,NK,224,13930,12953,543,0,0,850,-14,0,0,OVC008,-1.1,10,18,70,29.1
2016,3,2,3,NK,224,13930,12953,548,0,0,855,16,1,0,FEW030 FEW250,-11.1,10,6,280,29.39
2016,3,3,4,NK,224,13930,12953,548,0,0,855,20,1,0,OVC009,-1.7,2.5,9,90,29.33
2016,3,4,5,NK,224,13930,12953,548,0,0,855,61,1,0,FEW042,-6.7,10,5,330,29.44
2016,3,5,6,NK,224,13930,12953,548,0,0,855,-5,0,0,OVC011,0.6,4,8,240,29.26
2016,3,6,7,NK,224,13930,12953,548,0,0,855,-4,0,0,BKN022,1.1,10,10,210,29.51
2016,3,7,1,NK,224,13930,12953,548,1,0,855,3,0,0,SCT085 SCT150 BKN250,7.8,10,10,190,29.14
2016,3,8,2,NK,224,13930,12953,548,0,0,855,-18,0,0,BKN042 BKN049 OVC060,15,10,10,210,29.18
2016,3,9,3,NK,224,13930,12953,548,12,0,855,3,0,0,BKN014 OVC250,15,10,13,220,29.09
2016,3,10,4,NK,224,13930,12953,548,0,0,855,-19,0,0,SCT029 OVC140,7.2,10,3,350,29.32
2016,3,11,5,NK,224,13930,12953,548,0,0,855,-8,0,0,BKN250,2.2,10,6,30,29.61
2016,3,12,6,NK,224,13930,12953,548,0,0,855,-18,0,0,BKN300 OVC350,2.2,4,0,0,29.44
2016,3,13,7,NK,224,13930,12953,548,0,0,855,-7,0,0,BKN006 OVC043,7.8,3,9,60,29.15
2016,3,14,1,NK,224,13930,12953,548,0,0,855,0,0,0,OVC005,7.2,5,10,330,28.95
2016,3,15,2,NK,224,13930,12953,548,0,0,855,-12,0,0,OVC007,8.9,4,9,80,29.04
2016,3,16,3,NK,224,13930,12953,548,0,0,855,-6,0,0,BKN027 BKN040 OVC080,8.9,9,29,240,28.73
2016,3,17,4,NK,224,13930,12953,548,0,0,855,-7,0,0,FEW250,4.4,10,14,250,29.07
2016,3,18,5,NK,224,13930,12953,548,0,0,855,-5,0,0,FEW020 FEW250,0.6,10,11,300,29.29
2016,3,19,6,NK,224,13930,12953,548,0,0,855,-17,0,0,BKN014 OVC070,1.7,10,5,330,29.41
2016,3,20,7,NK,224,13930,12953,548,0,0,855,-17,0,0,FEW022 FEW080,-1.1,10,9,340,29.47
2016,3,21,1,NK,224,13930,12953,548,0,0,855,-5,0,0,SCT170,-1.7,10,5,340,29.44
2016,3,22,2,NK,224,13930,12953,548,0,0,855,-19,0,0,FEW150 BKN200,6.7,10,15,210,29.07
2016,3,23,3,NK,224,13930,12953,548,0,0,855,-13,0,0,OVC009,3.3,10,18,40,29.11
